Portál,Číslo,Název pozice,Link,Firma,Lokace,Typ úvazku,Datum inzerátu,Tag,Plat
jobs.cz,13,Data Scientist for Dataclair AI Centre (m/f),https://www.jobs.cz/rpd/2000198093/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,O2 Czech Republic a.s.,Praha – Michle,,19. září,,
jobs.cz,14,"Data, Analytics & Market Intelligence Expert",https://www.jobs.cz/rpd/2000357752/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,UNIQA,Praha – Vokovice,,13. září,,
jobs.cz,15,Data Engineer / DWH Developer / Lokalita: Praha / Brno,https://www.jobs.cz/rpd/1606074217/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"Komerční banka, a.s.",Praha – Stodůlky,,9. září,,
jobs.cz,16,Data Scientist,https://www.jobs.cz/rpd/2000368003/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,,23. září,,
jobs.cz,17,Data Analyst pro E-commerce (JPO13636),https://www.jobs.cz/rpd/2000312065/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,Alza.cz a.s.,Praha – Holešovice,,9. září,,
jobs.cz,18,Marketing Data Analyst,https://www.jobs.cz/rpd/2000322436/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,Košík.cz s.r.o.,Praha – Dejvice,,12. září,,
jobs.cz,19,Data Analyst,https://www.jobs.cz/rpd/2000358726/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,NN,Praha – Smíchov,,13. září,,
jobs.cz,20,Junior BI/Data analyst - Technology Consulting,https://www.jobs.cz/rpd/2000165046/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,,8. září,,
jobs.cz,21,DATA ANALYST & DATA GOVERNANCE SPECIALIST,https://www.jobs.cz/rpd/2000360319/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,Raiffeisenbank a.s.,Praha – Nusle,,16. září,,
jobs.cz,22,Data Platform Engineer,https://www.jobs.cz/rpd/2000347203/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,GIT Consult Czech s.r.o.,Praha,,3. září,,
jobs.cz,23,Data engineer - Technology consulting,https://www.jobs.cz/rpd/2000165102/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,,8. září,,
